Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40126247,How to Think Like a Roman Emperor: The Stoic Philosophy of Marcus Aurelius,Donald J. Robertson,"Robertson, Donald J.",,"=""""","=""""",5,4.37,St. Martin's Press,Kindle Edition,292,2019,2019,2021/07/24,2021/05/18,,,read,,,,1,0
24942533,Nemesis Games (Expanse #5),James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",4,4.43,Orbit,Kindle Edition,576,2015,2015,2022/08/06,2022/08/02,,,read,,,,1,0
19878591,"Cibola Burn (Expanse, #4)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",4,4.21,Orbit,Kindle Edition,593,2014,2014,2022/08/01,2022/07/26,,,read,,,,1,0
17793631,"Abaddon's Gate (Expanse, #3)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",4,4.26,Hachette Digital,Kindle Edition,566,2013,2013,2022/07/26,2022/07/21,,,read,,,,1,0
12964289,"Caliban's War (Expanse, #2)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",4,4.37,Hachette Digital,Kindle Edition,608,2012,2012,2022/07/21,2022/07/11,,,read,,,,1,0
11570641,"Leviathan Wakes (Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",4,4.29,Orbit,Kindle Edition,573,2011,2011,2022/07/04,2020/09/21,,,read,,,,1,0
58950674,"Eyes of the Void (The Final Architecture, #2)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1668604906""","=""9781668604908""",4,4.23,Orbit,Audiobook,,2022,2022,2022/06/23,2022/06/09,,,read,,,,1,0
56616571,"Shards of Earth (The Final Architecture, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""""","=""""",4,4.20,Tor,Kindle Edition,558,2021,2021,2022/06/08,2021/11/04,,,read,,,,1,0
58863528,All the Seas of the World,Guy Gavriel Kay,"Kay, Guy Gavriel",,"=""0593441044""","=""9780593441046""",0,4.23,Berkley,Hardcover,528,2022,2022,,2022/06/08,to-read,to-read (#30),to-read,,,,0,0
104085,A Song for Arbonne,Guy Gavriel Kay,"Kay, Guy Gavriel",,"=""0451458974""","=""9780451458971""",0,4.23,Ace Books,Paperback,512,2002,1992,,2022/06/08,to-read,to-read (#29),to-read,,,,0,0
104097,"Sailing to Sarantium (The Sarantine Mosaic, #1)",Guy Gavriel Kay,"Kay, Guy Gavriel",,"=""0743450094""","=""9780743450096""",0,4.18,Earthlight,Paperback,448,2002,1998,,2022/06/08,to-read,to-read (#28),to-read,,,,0,0
45833267,"Science of Running: Analyze your Technique, Prevent Injury, Revolutionize your Training (DK Science of)",Chris Napier,"Napier, Chris",,"=""1465489576""","=""9781465489579""",0,4.28,DK,Paperback,224,2020,2020,,2022/06/08,to-read,to-read (#27),to-read,,,,0,0
6969452,The Fall of the West: The Death of the Roman Superpower,Adrian Goldsworthy,"Goldsworthy, Adrian",,"=""0753826925""","=""9780753826928""",0,3.99,Phoenix,Paperback,531,2010,2009,,2021/01/28,dnf,dnf (#2),dnf,,,,0,0
180463,Leadership and Self-Deception: Getting Out of the Box,The Arbinger Institute,"Institute, The Arbinger",,"=""1576751740""","=""9781576751749""",5,4.11,Berrett-Koehler Publishers,Paperback,180,2002,2000,2022/06/02,2022/04/20,,,read,,,,2,0
54304238,Icebound: Shipwrecked at the Edge of the World,Andrea Pitzer,"Pitzer, Andrea",,"=""1982113340""","=""9781982113346""",3,3.73,Scribner,Hardcover,320,2021,2021,2022/05/18,2022/05/01,,,read,,,,1,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",3,4.18,Random House,Hardcover,372,2018,2018,2022/04/27,2022/04/19,,,read,,,,1,0
10111087,Turn Right at Machu Picchu: Rediscovering the Lost City One Step at a Time,Mark Adams,"Adams, Mark",,"=""0525952241""","=""9780525952244""",3,3.85,Dutton Books,Hardcover,333,2011,2011,2022/04/18,2022/04/11,,,read,,,,1,0
59243042,Eurooppa – Poliittisen yhteisön historia,Timo  Miettinen,"Miettinen, Timo",,"=""""","=""9789523631410""",4,4.10,Teos,Hardcover,399,2021,,2022/04/10,2022/01/27,,,read,,,,1,0
36570350,Divided: Why We're Living in an Age of Walls,Tim  Marshall,"Marshall, Tim",,"=""1783963425""","=""9781783963423""",0,4.01,Elliott & Thompson Ltd,Hardcover,272,2018,2018,,2022/02/01,to-read,to-read (#26),to-read,,,,0,0
55313155,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""""","=""""",5,4.52,Cornerstone Digital,Kindle Edition,482,2021,2021,2022/01/27,2021/12/14,,,read,,,,1,0
1713426,Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,"Ariely, Dan",,"=""""","=""""",0,4.12,HarperCollins Canada ,Hardcover,247,2008,2008,,2020/08/04,dnf,dnf (#1),dnf,,,,0,0
53799686,Anxious People,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""1982121602""","=""9781982121600""",4,4.19,Simon & Schuster Canada,Paperback,336,2020,2019,2022/01/23,2022/01/17,,,read,,,,1,0
8176885,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.52,Tor Books,Kindle Edition,785,2010,2008,2022/01/07,2021/11/29,,,read,,,,1,0
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",0,4.02,Crown,Hardcover,342,2006,2006,,2021/12/16,to-read,to-read (#25),to-read,,,,0,0
54191640,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.38,Tor Books,Kindle Edition,815,2010,2007,2021/12/15,2021/11/29,,,read,,,,1,0
53321665,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.47,Tor Books,Kindle Edition,676,2010,2006,2021/11/29,2020/12/18,,,read,,,,1,0
57355365,The Bright Ages: A New History of Medieval Europe,Matthew Gabriele,"Gabriele, Matthew",David M. Perry,"=""0062980890""","=""9780062980892""",0,3.70,Harper,Hardcover,307,2021,2021,,2021/11/30,to-read,to-read (#24),to-read,,,,0,0
56082145,"Bear Head (Dogs of War, #2)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""""","=""""",4,4.28,Head of Zeus,Kindle Edition,316,2021,2021,2021/11/17,2021/11/04,,,read,,,,1,0
44492286,"Children of Dune (Dune, #3)",Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098242""","=""9780593098240""",0,3.96,Ace Books,Paperback,609,2019,1976,,2021/11/17,to-read,to-read (#23),to-read,,,,0,0
57668692,"Dogs of War (Dogs of War, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""""","=""""",4,4.25,Head of Zeus,Kindle Edition,261,,2017,2021/11/04,2021/10/28,,,read,,,,1,0
28481,"Dragon Wing (The Death Gate Cycle, #1)",Margaret Weis,"Weis, Margaret",Tracy Hickman,"=""0553286390""","=""9780553286397""",0,3.97,Spectra,Mass Market Paperback,430,1990,1990,,2021/10/31,to-read,to-read (#22),to-read,,,,0,0
53948812,Cage of Souls,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""""","=""""",4,4.14,Head of Zeus,Kindle Edition,560,2020,2019,2021/10/28,2019/09/24,,,read,,,,2,0
26505409,Children of Earth and Sky,Guy Gavriel Kay,"Kay, Guy Gavriel",,"=""""","=""""",4,4.15,Berkley,Kindle Edition,585,2016,2016,2021/10/16,2021/07/25,,,read,,,,1,0
44492285,"Dune Messiah (Dune, #2)",Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098234""","=""9780593098233""",3,3.89,Ace Books,Mass Market Paperback,337,2019,1969,2021/09/16,2021/08/27,,,read,,,,1,0
11323604,"Dune (Dune Chronicles, #1)",Frank Herbert,"Herbert, Frank",,"=""""","=""""",4,4.26,Gateway,Kindle Edition,680,2010,1965,2021/08/27,2021/07/25,,,read,,,,1,0
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""""",3,3.91,Harper,Paperback,212,2016,2016,,2021/08/20,,,read,,,,1,0
